Generating 5000 puzzles for size 16x16
Size 16x16 | 100/5000 | Last gen: 0.11s | Total elapsed: 7.10s
Size 16x16 | 200/5000 | Last gen: 0.08s | Total elapsed: 14.06s
Size 16x16 | 300/5000 | Last gen: 0.09s | Total elapsed: 20.97s
Size 16x16 | 400/5000 | Last gen: 0.08s | Total elapsed: 27.91s
Size 16x16 | 500/5000 | Last gen: 0.06s | Total elapsed: 34.74s
Size 16x16 | 600/5000 | Last gen: 0.07s | Total elapsed: 41.68s
Size 16x16 | 700/5000 | Last gen: 0.06s | Total elapsed: 48.60s
Size 16x16 | 800/5000 | Last gen: 0.07s | Total elapsed: 55.42s
Size 16x16 | 900/5000 | Last gen: 0.07s | Total elapsed: 62.38s
Size 16x16 | 1000/5000 | Last gen: 0.07s | Total elapsed: 69.40s
Size 16x16 | 1100/5000 | Last gen: 0.07s | Total elapsed: 76.44s
Size 16x16 | 1200/5000 | Last gen: 0.06s | Total elapsed: 83.25s
Size 16x16 | 1300/5000 | Last gen: 0.07s | Total elapsed: 90.11s
Size 16x16 | 1400/5000 | Last gen: 0.06s | Total elapsed: 96.90s
Size 16x16 | 1500/5000 | Last gen: 0.06s | Total elapsed: 103.91s
Size 16x16 | 1600/5000 | Last gen: 0.06s | Total elapsed: 110.68s
Size 16x16 | 1700/5000 | Last gen: 0.15s | Total elapsed: 119.14s
Size 16x16 | 1800/5000 | Last gen: 0.08s | Total elapsed: 127.64s
Size 16x16 | 1900/5000 | Last gen: 0.07s | Total elapsed: 134.57s
Size 16x16 | 2000/5000 | Last gen: 0.09s | Total elapsed: 141.58s
Size 16x16 | 2100/5000 | Last gen: 0.07s | Total elapsed: 148.59s
Size 16x16 | 2200/5000 | Last gen: 0.07s | Total elapsed: 155.88s
Size 16x16 | 2300/5000 | Last gen: 0.07s | Total elapsed: 162.91s
Size 16x16 | 2400/5000 | Last gen: 0.07s | Total elapsed: 170.05s
Size 16x16 | 2500/5000 | Last gen: 0.07s | Total elapsed: 176.99s
Size 16x16 | 2600/5000 | Last gen: 0.07s | Total elapsed: 183.80s
Size 16x16 | 2700/5000 | Last gen: 0.07s | Total elapsed: 190.70s
Size 16x16 | 2800/5000 | Last gen: 0.06s | Total elapsed: 197.61s
Size 16x16 | 2900/5000 | Last gen: 0.07s | Total elapsed: 204.80s
Size 16x16 | 3000/5000 | Last gen: 0.08s | Total elapsed: 211.85s
Size 16x16 | 3100/5000 | Last gen: 0.07s | Total elapsed: 218.82s
Size 16x16 | 3200/5000 | Last gen: 0.08s | Total elapsed: 225.85s
Size 16x16 | 3300/5000 | Last gen: 0.07s | Total elapsed: 233.06s
Size 16x16 | 3400/5000 | Last gen: 0.07s | Total elapsed: 239.95s
Size 16x16 | 3500/5000 | Last gen: 0.11s | Total elapsed: 250.93s
Size 16x16 | 3600/5000 | Last gen: 0.09s | Total elapsed: 259.32s
Size 16x16 | 3700/5000 | Last gen: 0.08s | Total elapsed: 266.22s
Size 16x16 | 3800/5000 | Last gen: 0.07s | Total elapsed: 273.08s
Size 16x16 | 3900/5000 | Last gen: 0.08s | Total elapsed: 280.07s
Size 16x16 | 4000/5000 | Last gen: 0.07s | Total elapsed: 287.12s
Size 16x16 | 4100/5000 | Last gen: 0.09s | Total elapsed: 294.89s
Size 16x16 | 4200/5000 | Last gen: 0.06s | Total elapsed: 302.11s
Size 16x16 | 4300/5000 | Last gen: 0.06s | Total elapsed: 309.21s
Size 16x16 | 4400/5000 | Last gen: 0.06s | Total elapsed: 316.52s
Size 16x16 | 4500/5000 | Last gen: 0.07s | Total elapsed: 324.15s
Size 16x16 | 4600/5000 | Last gen: 0.06s | Total elapsed: 331.18s
Size 16x16 | 4700/5000 | Last gen: 0.06s | Total elapsed: 339.49s
Size 16x16 | 4800/5000 | Last gen: 0.08s | Total elapsed: 346.50s
Size 16x16 | 4900/5000 | Last gen: 0.06s | Total elapsed: 353.25s
Size 16x16 | 5000/5000 | Last gen: 0.07s | Total elapsed: 360.32s
Saved outputs/dataset_16x16.npz
